,specie link,name,synonyms,genera,genera link,spores 1d lower,spores 2d lower,pileus width lower,stipes long lower,stipes thick lower,spores 1d upper,spores 2d upper,pileus width upper,stipes long upper,stipes thick upper
41,http://www.mushroomexpert.com/amanita_calyptroderma.html,Amanita vernicoccora,['Amanita calyptroderma'],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.09,0.06,800.0,700.0,400.0,0.12,0.08,2000.0,2500.0,400.0
42,https://www.mykoweb.com/CAF/species/Clitocybe_deceptiva.html,Clitocybe deceptiva,['Clitocybe suaveolens'],Clitocybe  ,https://www.mykoweb.com/CAF/genera/Clitocybe.html,0.06,0.035,120.0,150.0,30.0,0.075,0.04,500.0,400.0,50.0
43,https://www.mykoweb.com/CAF/species/Tricholoma_murrillianum.html,Tricholoma murrillianum,"['Armillaria arenicola', 'Agaricus magnivelaris', '; Agaricus ponderosus', '; Armillaria ponderosa', 'Tricholoma magnivelare']",Tricholoma  ,https://www.mykoweb.com/CAF/genera/Tricholoma.html,0.05,0.045,500.0,400.0,100.0,0.07,0.055,2500.0,1500.0,600.0
44,https://www.mykoweb.com/CAF/species/Aureoboletus_citriniporus.html,Aureoboletus citriniporus,['Boletus citriniporus'],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.12,0.0375,400.0,400.0,100.0,0.135,0.045,800.0,700.0,300.0
45,https://www.mykoweb.com/CAF/species/Aureoboletus_flaviporus.html,Aureoboletus flaviporus,['Boletus flaviporus'],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.12,0.05,600.0,600.0,100.0,0.15,0.06,1100.0,1200.0,200.0
46,https://www.mykoweb.com/CAF/species/Clitocybe_nuda.html,Clitocybe nuda,['Lepista nuda'],Clitocybe  ,https://www.mykoweb.com/CAF/genera/Clitocybe.html,0.06,0.04,400.0,300.0,100.0,0.08,0.05,1400.0,650.0,250.0
47,https://www.mykoweb.com/CAF/species/Boletus_regineus.html,Boletus regineus,['Boletus aereus'],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.115,0.035,700.0,700.0,300.0,0.135,0.045,1400.0,1300.0,400.0
48,https://www.mykoweb.com/CAF/species/Suillellus_amygdalinus.html,Suillellus amygdalinus,"['Boletus puniceus', 'Boletus amygdalinus']",Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.11,0.05,400.0,400.0,150.0,0.14,0.065,1000.0,700.0,300.0
49,https://www.mykoweb.com/CAF/species/Butyriboletus_persolidus.html,Butyriboletus persolidus,['Boletus appendiculatus'],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.115,0.035,700.0,500.0,300.0,0.135,0.045,1400.0,900.0,600.0
50,https://www.mykoweb.com/CAF/species/Xerocomellus_diffractus.html,Xerocomellus diffractus,"['Xerocomus chrysenteron', 'Boletus chyrsenteron']",Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.115,0.04,400.0,500.0,100.0,0.14,0.06,900.0,1000.0,150.0
51,https://www.mykoweb.com/CAF/species/Xerocomellus_dryophilus.html,Xerocomellus dryophilus,"['Xerocomus dryophilus', 'Boletus dryophilus']",Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.115,0.05,400.0,400.0,100.0,0.16,0.065,1200.0,800.0,250.0
52,https://www.mykoweb.com/CAF/species/Rubroboletus_eastwoodiae.html,Rubroboletus eastwoodiae,"['Boletus eastwoodiae', 'Suillellus eastwoodiae', 'Rubroboletus eastwoodiae ', 'Boletus satanas']",Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.11,0.035,1000.0,700.0,1300.0,0.15,0.06,2200.0,1400.0,1300.0
53,https://www.mykoweb.com/CAF/species/Boletus_edulis.html,Boletus edulis,[],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.12,0.04,700.0,700.0,300.0,0.17,0.06,2500.0,2000.0,800.0
54,http://www.mushroomexpert.com/boletus_frustosus.html,Caloboletus frustosus,"['Boletus calopus ', ' frustosus', 'Boletus frustosus', 'Caloboletus frustosus']",Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.11,0.04,700.0,500.0,250.0,0.14,0.05,1500.0,1000.0,350.0
55,https://www.mykoweb.com/CAF/species/Boletus_orovillus.html,Boletus orovillus,['Buchwaldoboletus orovillus'],Boletus  ,https://www.mykoweb.com/CAF/genera/Boletus.html,0.055,0.035,800.0,500.0,250.0,0.065,0.04,1500.0,900.0,450.0
